Real Time,Tracked Time,Worn State,User in VR,Focus Task,XPos,YPos,ZPos,Pitch,Yaw,Roll,WallColor,Game Time,Phase,Color,Color,Trial,Number,Input,Correct,React,Font,Display Time
15:37:48.383,69.224442,Unknown,false,true,36.416 ,-13.901 ,85.692,2.547701 ,9.514007 ,0.875809,X=0.000 Y=0.000 Z=1.000,29.197861,0,PBlue/PBlue,1,25,5,true,1,0.33302,45,15:37:48.50
15:37:49.449,70.290726,Unknown,false,true,36.414 ,-13.905 ,85.696,2.536131 ,9.515244 ,0.875101,X=0.000 Y=0.000 Z=1.000,30.264204,0,PBlue/PBlue,1,26,9,true,1,0.244589,30,15:37:49.204
15:37:50.604,71.4459,Unknown,false,true,36.413 ,-13.917 ,85.684,2.511597 ,9.515991 ,0.873411,X=0.000 Y=0.000 Z=1.000,31.419374,0,PBlue/PBlue,1,27,6,true,1,0.24459,45,15:37:50.359
15:37:51.770,72.612183,Unknown,false,true,36.424 ,-13.912 ,85.700,2.535619 ,9.504861 ,0.885383,X=0.000 Y=0.000 Z=1.000,32.585644,0,PBlue/PBlue,1,28,1,true,1,0.255495,45,15:37:51.515
15:37:53.158,74.000259,Unknown,false,true,36.417 ,-13.914 ,85.675,2.534676 ,9.500854 ,0.878773,X=0.000 Y=0.000 Z=1.000,33.973701,0,PBlue/PBlue,1,29,6,true,1,0.488748,35,15:37:52.670
15:37:54.214,75.055336,Unknown,false,true,36.419 ,-13.910 ,85.679,2.523113 ,9.497959 ,0.872130,X=0.000 Y=0.000 Z=1.000,35.028759,0,PBlue/PBlue,1,30,7,true,1,0.388794,45,15:37:53.825
15:37:55.246,76.088203,Unknown,false,true,36.414 ,-13.903 ,85.702,2.500293 ,9.478138 ,0.888788,X=0.000 Y=0.000 Z=1.000,36.061665,0,PBlue/PBlue,1,31,8,true,1,0.266531,40,15:37:54.980
15:37:56.457,77.298668,Unknown,false,true,36.419 ,-13.890 ,85.695,2.503271 ,9.483613 ,0.905462,X=0.000 Y=0.000 Z=1.000,37.27216,0,PBlue/PBlue,1,32,3,true,0,0.321714,50,15:37:56.135
15:37:57.912,78.75354,Unknown,false,true,36.427 ,-13.903 ,85.694,2.511918 ,9.474235 ,0.895704,X=0.000 Y=0.000 Z=1.000,38.726982,0,PBlue/PBlue,1,33,1,true,1,0.622083,35,15:37:57.290
15:37:58.856,79.69751,Unknown,false,true,36.426 ,-13.904 ,85.699,2.496079 ,9.474628 ,0.892714,X=0.000 Y=0.000 Z=1.000,39.670979,0,PBlue/PBlue,1,34,6,true,1,0.410774,50,15:37:58.445
